PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
3243	Marc De Bel	Marc	de	Bel	https://www.literatuurplein.nl/persdetail?persId=3243	http://web.archive.org/web/20191203210331/https://www.literatuurplein.nl/persdetail?persId=3243	200	Klik	07-05-1954	Kruishoutem		
3244	Gerda Dendooven	Gerda	 	Dendooven	https://www.literatuurplein.nl/detail/persoon/gerda-dendooven/3244	http://web.archive.org/web/20191129132035/https://www.literatuurplein.nl/detail/persoon/gerda-dendooven/3244	200	Klik				
3262	Henry Sepers	Henry		Sepers	https://www.literatuurplein.nl/persdetail?persId=3262	http://web.archive.org/web/20191203210348/https://www.literatuurplein.nl/persdetail?persId=3262	200	Klik	1955	Den Haag		
3265	Sjoerd De Jong	Sjoerd	de	Jong	https://www.literatuurplein.nl/persdetail?persId=3265	http://web.archive.org/web/20191203210404/https://www.literatuurplein.nl/persdetail?persId=3265	200	Klik	mei 1960	Rotterdam		
3273	Stephan Sanders	Stephan		Sanders	https://www.literatuurplein.nl/persdetail?persId=3273	http://web.archive.org/web/20191203210421/https://www.literatuurplein.nl/persdetail?persId=3273	200	Klik	28-07-1961	Haarlem		
3279	Jan Gielkens	Jan		Gielkens	https://www.literatuurplein.nl/persdetail?persId=3279	http://web.archive.org/web/20191203210437/https://www.literatuurplein.nl/persdetail?persId=3279	200	Klik	1952	Kerkrade		
3280	Günter Grass	Günter		Grass	https://www.literatuurplein.nl/persdetail?persId=3280	http://web.archive.org/web/20191203210453/https://www.literatuurplein.nl/persdetail?persId=3280	200	Klik	16-10-1927	Gdansk / Danzig	13-04-2015	Lübeck
3283	Robin Hannelore	Robin		Hannelore	https://www.literatuurplein.nl/persdetail?persId=3283	http://web.archive.org/web/20191203210510/https://www.literatuurplein.nl/persdetail?persId=3283	200	Klik	21-03-1937	Pulle		
3303	Willem M. Roggeman	Willem M.		Roggeman	https://www.literatuurplein.nl/persdetail?persId=3303	http://web.archive.org/web/20191203210526/https://www.literatuurplein.nl/persdetail?persId=3303	200	Klik	09-07-1935	Brussel		
3315	Co Loerakker	Co		Loerakker	https://www.literatuurplein.nl/persdetail?persId=3315	http://web.archive.org/web/20191203210542/https://www.literatuurplein.nl/persdetail?persId=3315	200	Klik	11-04-1949	Haarlem		
3318	J Van Reenen	J	van 	Reenen	https://www.literatuurplein.nl/detail/persoon/j-van-reenen/3318	http://web.archive.org/web/20191129142727/https://www.literatuurplein.nl/detail/persoon/j-van-reenen/3318	200	Klik				
3324	Marcel Maassen	Marcel		Maassen	https://www.literatuurplein.nl/persdetail?persId=3324	http://web.archive.org/web/20191203210558/https://www.literatuurplein.nl/persdetail?persId=3324	200	Klik	17-08-1965			
3329	Martin Scherstra	Martin	 	Scherstra	https://www.literatuurplein.nl/detail/persoon/martin-scherstra/3329	http://web.archive.org/web/20191129151607/https://www.literatuurplein.nl/detail/persoon/martin-scherstra/3329	200	Klik				
3352	Dirk Kroon	Dirk		Kroon	https://www.literatuurplein.nl/persdetail?persId=3352	http://web.archive.org/web/20191203210614/https://www.literatuurplein.nl/persdetail?persId=3352	200	Klik	09-05-1946			
3358	Tony Ross	Tony		Ross	https://www.literatuurplein.nl/persdetail?persId=3358	http://web.archive.org/web/20191203210631/https://www.literatuurplein.nl/persdetail?persId=3358	200	Klik	10-08-1938	Londen		
3360	Brian Jacques	Brian		Jacques	https://www.literatuurplein.nl/persdetail?persId=3360	http://web.archive.org/web/20191203210648/https://www.literatuurplein.nl/persdetail?persId=3360	200	Klik	15-06-1939	Liverpool	05-02-2011	Liverpool
3370	Jasper Mikkers	Jasper		Mikkers	https://www.literatuurplein.nl/persdetail?persId=3370	http://web.archive.org/web/20191203210704/https://www.literatuurplein.nl/persdetail?persId=3370	200	Klik	03-06-1948	Oerle		
3371	Jacob Vis	Jacob		Vis	https://www.literatuurplein.nl/persdetail?persId=3371	http://web.archive.org/web/20191203210721/https://www.literatuurplein.nl/persdetail?persId=3371	200	Klik	20-09-1940	Haarlem		
3381	Bert Keizer	Bert		Keizer	https://www.literatuurplein.nl/persdetail?persId=3381	http://web.archive.org/web/20191203210738/https://www.literatuurplein.nl/persdetail?persId=3381	200	Klik	1947	Amersfoort		
3383	Frank Westerman	Frank		Westerman	https://www.literatuurplein.nl/persdetail?persId=3383	http://web.archive.org/web/20191203210754/https://www.literatuurplein.nl/persdetail?persId=3383	200	Klik	14-11-1964	Emmen		
3399	Kees Fens	Kees		Fens	https://www.literatuurplein.nl/persdetail?persId=3399	http://web.archive.org/web/20191203210810/https://www.literatuurplein.nl/persdetail?persId=3399	200	Klik	18-10-1929	Amsterdam	14-06-2008	Amsterdam
3402	Jan Roegiers	Jan		Roegiers	https://www.literatuurplein.nl/persdetail?persId=3402	http://web.archive.org/web/20191203210827/https://www.literatuurplein.nl/persdetail?persId=3402	200	Klik	19-10-1944	Sleidinge	12-07-2013	Leuven
3418	Marcus Pfister	Marcus		Pfister	https://www.literatuurplein.nl/persdetail?persId=3418	http://web.archive.org/web/20191203210844/https://www.literatuurplein.nl/persdetail?persId=3418	200	Klik	30-07-1960	Bern		
3423	Sherryl Jordan	Sherryl		Jordan	https://www.literatuurplein.nl/persdetail?persId=3423	http://web.archive.org/web/20191203210900/https://www.literatuurplein.nl/persdetail?persId=3423	200	Klik	08-06-1949	Nieuw Zeeland		
3425	Eve Tharlet	Eve		Tharlet	https://www.literatuurplein.nl/persdetail?persId=3425	http://web.archive.org/web/20191203210916/https://www.literatuurplein.nl/persdetail?persId=3425	200	Klik	05-07-1956	Frankrijk		
3426	Jan De Bas	Jan	de	Bas	https://www.literatuurplein.nl/persdetail?persId=3426	http://web.archive.org/web/20191203210933/https://www.literatuurplein.nl/persdetail?persId=3426	200	Klik	13-01-1964			
3432	Sue Grafton	Sue		Grafton	https://www.literatuurplein.nl/persdetail?persId=3432	http://web.archive.org/web/20191203210949/https://www.literatuurplein.nl/persdetail?persId=3432	200	Klik	24-04-1940	Louisville	28-12-2017	Santa Barbara
3452	Hendrik Jan Korterink	Hendrik Jan	 	Korterink	https://www.literatuurplein.nl/detail/persoon/hendrik-jan-korterink/3452	http://web.archive.org/web/20191129133705/https://www.literatuurplein.nl/detail/persoon/hendrik-jan-korterink/3452	200	Klik				
3453	Val Macdermid	Val		Macdermid	https://www.literatuurplein.nl/persdetail?persId=3453	http://web.archive.org/web/20191203211007/https://www.literatuurplein.nl/persdetail?persId=3453	200	Klik	04-06-1955	Schotland		
3460	Frans Mentink	Frans	 	Mentink	https://www.literatuurplein.nl/detail/persoon/frans-mentink/3460	http://web.archive.org/web/20191129131330/https://www.literatuurplein.nl/detail/persoon/frans-mentink/3460	200	Klik				
3463	Bettine Vriesekoop	Bettine		Vriesekoop	https://www.literatuurplein.nl/persdetail?persId=3463	http://web.archive.org/web/20191203211024/https://www.literatuurplein.nl/persdetail?persId=3463	200	Klik	13-08-1961	Hazerswoude		
3469	Jos Lammers	Jos		Lammers	https://www.literatuurplein.nl/persdetail?persId=3469	http://web.archive.org/web/20191203211040/https://www.literatuurplein.nl/persdetail?persId=3469	200	Klik	1952	Amsterdam		
3470	P H Olving	P H	 	Olving	https://www.literatuurplein.nl/detail/persoon/p-h-olving/3470	http://web.archive.org/web/20191129163106/https://www.literatuurplein.nl/detail/persoon/p-h-olving/3470	200	Klik				
3482	Hans Warren	Hans		Warren	https://www.literatuurplein.nl/persdetail?persId=3482	http://web.archive.org/web/20191203211056/https://www.literatuurplein.nl/persdetail?persId=3482	200	Klik	20-10-1921	Borsele	19-12-2001	Goes
3495	Martin Waddell	Martin		Waddell	https://www.literatuurplein.nl/persdetail?persId=3495	http://web.archive.org/web/20191203211112/https://www.literatuurplein.nl/persdetail?persId=3495	200	Klik	10-04-1941	Belfast		
3498	Twan Huys	Twan		Huys	https://www.literatuurplein.nl/persdetail?persId=3498	http://web.archive.org/web/20191203211129/https://www.literatuurplein.nl/persdetail?persId=3498	200	Klik	24-03-1964	Sevenum		
3499	Joséphine Vast	Joséphine		Vast	https://www.literatuurplein.nl/persdetail?persId=3499	http://web.archive.org/web/20191203211145/https://www.literatuurplein.nl/persdetail?persId=3499	200	Klik	30-09-1942	Utrecht		
3511	Jaap Kruithof	Jaap		Kruithof	https://www.literatuurplein.nl/persdetail?persId=3511	http://web.archive.org/web/20191203211201/https://www.literatuurplein.nl/persdetail?persId=3511	200	Klik	13-12-1929	Berchem	25-02-2009	Boechout
3525	H.T.M. Van Vliet	H.T.M.	van	Vliet	https://www.literatuurplein.nl/persdetail?persId=3525	http://web.archive.org/web/20191203211217/https://www.literatuurplein.nl/persdetail?persId=3525	200	Klik	1950			
3526	Louis Couperus	Louis		Couperus	https://www.literatuurplein.nl/persdetail?persId=3526	http://web.archive.org/web/20191203211236/https://www.literatuurplein.nl/persdetail?persId=3526	200	Klik	10-06-1863	Den Haag	16-07-1923	De Steeg
3527	Lucy Cousins	Lucy		Cousins	https://www.literatuurplein.nl/persdetail?persId=3527	http://web.archive.org/web/20191203211253/https://www.literatuurplein.nl/persdetail?persId=3527	200	Klik	10-02-1964			
3529	David Grossman	David		Grossman	https://www.literatuurplein.nl/persdetail?persId=3529	http://web.archive.org/web/20191203211310/https://www.literatuurplein.nl/persdetail?persId=3529	200	Klik	25-01-1954	Jeruzalem		
3539	Tom Lanoye	Tom		Lanoye	https://www.literatuurplein.nl/persdetail?persId=3539	http://web.archive.org/web/20191203211326/https://www.literatuurplein.nl/persdetail?persId=3539	200	Klik	27-08-1958	Sint-Niklaas		
3542	Marcel Janssens	Marcel		Janssens	https://www.literatuurplein.nl/persdetail?persId=3542	http://web.archive.org/web/20191203211343/https://www.literatuurplein.nl/persdetail?persId=3542	200	Klik	28-02-1932	Grembergen	11-07-2013	Haasrode
3549	Alice Hoffman	Alice		Hoffman	https://www.literatuurplein.nl/persdetail?persId=3549	http://web.archive.org/web/20191203211359/https://www.literatuurplein.nl/persdetail?persId=3549	200	Klik	16-03-1952	New York City		
3550	Karel Soudijn	Karel		Soudijn	https://www.literatuurplein.nl/persdetail?persId=3550	http://web.archive.org/web/20191203211415/https://www.literatuurplein.nl/persdetail?persId=3550	200	Klik	11-01-1944			
3552	Bert Paasman	Bert		Paasman	https://www.literatuurplein.nl/persdetail?persId=3552	http://web.archive.org/web/20191203211432/https://www.literatuurplein.nl/persdetail?persId=3552	200	Klik	26-02-1939	Hoogeveen		
3586	Bette Westera	Bette		Westera	https://www.literatuurplein.nl/persdetail?persId=3586	http://web.archive.org/web/20191203211448/https://www.literatuurplein.nl/persdetail?persId=3586	200	Klik	20-06-1958	Doesburg		
3614	Gode-Liva Uleners	Gode-Liva		Uleners	https://www.literatuurplein.nl/persdetail?persId=3614	http://web.archive.org/web/20191203211505/https://www.literatuurplein.nl/persdetail?persId=3614	200	Klik	20-02-1933	Antwerpen	30-09-2002	Mechelen
3618	Lily Van Ginneken	Lily	van 	Ginneken	https://www.literatuurplein.nl/detail/persoon/lily-van-ginneken/3618	http://web.archive.org/web/20191129144803/https://www.literatuurplein.nl/detail/persoon/lily-van-ginneken/3618	200	Klik				
3621	Joris Vriamont	Joris		Vriamont	https://www.literatuurplein.nl/persdetail?persId=3621	http://web.archive.org/web/20191203211522/https://www.literatuurplein.nl/persdetail?persId=3621	200	Klik	23-11-1896	Lijsem	28-02-1961	Brussel
3628	Michael Connelly	Michael		Connelly	https://www.literatuurplein.nl/persdetail?persId=3628	http://web.archive.org/web/20191203211538/https://www.literatuurplein.nl/persdetail?persId=3628	200	Klik	21-07-1956			
3649	Nadine Gordimer	Nadine		Gordimer	https://www.literatuurplein.nl/persdetail?persId=3649	http://web.archive.org/web/20191203211555/https://www.literatuurplein.nl/persdetail?persId=3649	200	Klik	20-11-1923	Springs	14-07-2014	Johannesburg
3655	Pieter Grashoff	Pieter		Grashoff	https://www.literatuurplein.nl/persdetail?persId=3655	http://web.archive.org/web/20191203211611/https://www.literatuurplein.nl/persdetail?persId=3655	200	Klik	1927			
3657	Rudyard Kipling	Rudyard		Kipling	https://www.literatuurplein.nl/persdetail?persId=3657	http://web.archive.org/web/20191203211628/https://www.literatuurplein.nl/persdetail?persId=3657	200	Klik	30-12-1865	Bombay	18-01-1936	Londen
3662	Klaas Jansma	Klaas		Jansma	https://www.literatuurplein.nl/persdetail?persId=3662	http://web.archive.org/web/20191203211644/https://www.literatuurplein.nl/persdetail?persId=3662	200	Klik	04-01-1949	Echten		
3665	Terry Pratchett	Terry		Pratchett	https://www.literatuurplein.nl/persdetail?persId=3665	http://web.archive.org/web/20191203211702/https://www.literatuurplein.nl/persdetail?persId=3665	200	Klik	28-04-1948	Beaconsfield	12-03-2015	Broad Chalke
3667	Patricia Grace	Patricia		Grace	https://www.literatuurplein.nl/persdetail?persId=3667	http://web.archive.org/web/20191203211719/https://www.literatuurplein.nl/persdetail?persId=3667	200	Klik	1937			
3675	Bea De Koster	Bea	de	Koster	https://www.literatuurplein.nl/persdetail?persId=3675	http://web.archive.org/web/20191203211735/https://www.literatuurplein.nl/persdetail?persId=3675	200	Klik	30-10-1955	Brussels Hoofdstedelijk Gewest		
3680	Cor Hoffer	Cor		Hoffer	https://www.literatuurplein.nl/persdetail?persId=3680	http://web.archive.org/web/20191203211751/https://www.literatuurplein.nl/persdetail?persId=3680	200	Klik	1955			
3691	Ronald Naar	Ronald		Naar	https://www.literatuurplein.nl/persdetail?persId=3691	http://web.archive.org/web/20191203211808/https://www.literatuurplein.nl/persdetail?persId=3691	200	Klik	19-04-1955	Den Haag	22-05-2011	Cho Oyu
3716	Ton Vingerhoets	Ton		Vingerhoets	https://www.literatuurplein.nl/persdetail?persId=3716	http://web.archive.org/web/20191203211825/https://www.literatuurplein.nl/persdetail?persId=3716	200	Klik	16-08-1940	Eindhoven	09-07-2015	Valthermond
3725	Michiel Van Kempen	Michiel	van	Kempen	https://www.literatuurplein.nl/persdetail?persId=3725	http://web.archive.org/web/20191203211841/https://www.literatuurplein.nl/persdetail?persId=3725	200	Klik	04-04-1957	Oirschot		
3726	Albert Helman	Albert		Helman	https://www.literatuurplein.nl/persdetail?persId=3726	http://web.archive.org/web/20191203211858/https://www.literatuurplein.nl/persdetail?persId=3726	200	Klik	11-07-1903	Paramaribo	07-10-1996	
3744	Max Dendermonde	Max		Dendermonde	https://www.literatuurplein.nl/persdetail?persId=3744	http://web.archive.org/web/20191203211914/https://www.literatuurplein.nl/persdetail?persId=3744	200	Klik	17-06-1919	Winschoten	24-03-2004	Sarasota
3747	Herman Verbeek	Herman		Verbeek	https://www.literatuurplein.nl/persdetail?persId=3747	http://web.archive.org/web/20191203211932/https://www.literatuurplein.nl/persdetail?persId=3747	200	Klik	17-05-1936	Groningen	01-02-2013	Groningen
3748	Meir Shalev	Meir		Shalev	https://www.literatuurplein.nl/persdetail?persId=3748	http://web.archive.org/web/20191203211949/https://www.literatuurplein.nl/persdetail?persId=3748	200	Klik	21-07-1948	Nahalal		
3766	Zbigniew Herbert	Zbigniew		Herbert	https://www.literatuurplein.nl/persdetail?persId=3766	http://web.archive.org/web/20191203212005/https://www.literatuurplein.nl/persdetail?persId=3766	200	Klik	29-10-1924	Lviv / Lwów	28-07-1998	Warschau
3768	Jef Lievens	Jef		Lievens	https://www.literatuurplein.nl/persdetail?persId=3768	http://web.archive.org/web/20191203212022/https://www.literatuurplein.nl/persdetail?persId=3768	200	Klik	13-01-1924	Herentals	10-12-2003	Geel
3774	William L. Simon	William L.		Simon	https://www.literatuurplein.nl/persdetail?persId=3774	http://web.archive.org/web/20191203212038/https://www.literatuurplein.nl/persdetail?persId=3774	200	Klik				
3776	Cees Van Der Pluijm	Cees	van der	Pluijm	https://www.literatuurplein.nl/persdetail?persId=3776	http://web.archive.org/web/20191203212054/https://www.literatuurplein.nl/persdetail?persId=3776	200	Klik	12-01-1954	Radio Kootwijk	14-12-2014	Arnhem
3781	Erica Jong	Erica		Jong	https://www.literatuurplein.nl/persdetail?persId=3781	http://web.archive.org/web/20191203212111/https://www.literatuurplein.nl/persdetail?persId=3781	200	Klik	26-03-1942	New York City		
3785	Ethel Portnoy	Ethel		Portnoy	https://www.literatuurplein.nl/persdetail?persId=3785	http://web.archive.org/web/20191203212127/https://www.literatuurplein.nl/persdetail?persId=3785	200	Klik	08-03-1927	Philadelphia	25-05-2004	Den Haag
3792	Edith Wharton	Edith		Wharton	https://www.literatuurplein.nl/persdetail?persId=3792	http://web.archive.org/web/20191203212143/https://www.literatuurplein.nl/persdetail?persId=3792	200	Klik	24-01-1862	New York City	11-08-1937	Saint-Brice-sous-Forêt
3795	Hugo Pratt	Hugo		Pratt	https://www.literatuurplein.nl/persdetail?persId=3795	http://web.archive.org/web/20191203212159/https://www.literatuurplein.nl/persdetail?persId=3795	200	Klik	15-06-1927	Emilia-Romagna	20-08-1995	Lausanne
3797	Wil Huygen	Wil		Huygen	https://www.literatuurplein.nl/persdetail?persId=3797	http://web.archive.org/web/20191203212216/https://www.literatuurplein.nl/persdetail?persId=3797	200	Klik	23-06-1922	Amersfoort	14-01-2009	Bilthoven
3798	Rien Poortvliet	Rien		Poortvliet	https://www.literatuurplein.nl/persdetail?persId=3798	http://web.archive.org/web/20191203212233/https://www.literatuurplein.nl/persdetail?persId=3798	200	Klik	07-08-1932	Schiedam	15-09-1995	Soest
3804	Rosita Steenbeek	Rosita		Steenbeek	https://www.literatuurplein.nl/persdetail?persId=3804	http://web.archive.org/web/20191203212250/https://www.literatuurplein.nl/persdetail?persId=3804	200	Klik	25-05-1959	Utrecht		
3809	Romesh Gunesekera	Romesh	 	Gunesekera	https://www.literatuurplein.nl/detail/persoon/romesh-gunesekera/3809	http://web.archive.org/web/20191129164832/https://www.literatuurplein.nl/detail/persoon/romesh-gunesekera/3809	200	Klik				
3812	Paul Auster	Paul		Auster	https://www.literatuurplein.nl/persdetail?persId=3812	http://web.archive.org/web/20191203212307/https://www.literatuurplein.nl/persdetail?persId=3812	200	Klik	03-02-1947	Newark		
3833	David Mitchell (1969)	David		Mitchell (1969)	https://www.literatuurplein.nl/persdetail?persId=3833	http://web.archive.org/web/20191203212323/https://www.literatuurplein.nl/persdetail?persId=3833	200	Klik	12-01-1969	Southport		
3836	Ernst Bruinsma	Ernst		Bruinsma	https://www.literatuurplein.nl/persdetail?persId=3836	http://web.archive.org/web/20191203212339/https://www.literatuurplein.nl/persdetail?persId=3836	200	Klik	1966			
3837	Louis Paul Boon	Louis Paul		Boon	https://www.literatuurplein.nl/persdetail?persId=3837	http://web.archive.org/web/20191203212356/https://www.literatuurplein.nl/persdetail?persId=3837	200	Klik	15-03-1912	Aalst	10-05-1979	Erembodegem
3844	Dolores Thijs	Dolores		Thijs	https://www.literatuurplein.nl/persdetail?persId=3844	http://web.archive.org/web/20191203212413/https://www.literatuurplein.nl/persdetail?persId=3844	200	Klik	29-01-1945	Wolfen		
3845	P.F. Thomése	P.F.		Thomése	https://www.literatuurplein.nl/persdetail?persId=3845	http://web.archive.org/web/20191203212429/https://www.literatuurplein.nl/persdetail?persId=3845	200	Klik	23-01-1958	Doetinchem		
3850	Edgar Wallace	Edgar		Wallace	https://www.literatuurplein.nl/persdetail?persId=3850	http://web.archive.org/web/20191203212445/https://www.literatuurplein.nl/persdetail?persId=3850	200	Klik	01-04-1875	Greenwich	10-02-1932	Hollywood
3858	Kees Ouwens	Kees		Ouwens	https://www.literatuurplein.nl/persdetail?persId=3858	http://web.archive.org/web/20191203212502/https://www.literatuurplein.nl/persdetail?persId=3858	200	Klik	27-06-1944	Zeist	24-08-2004	Heemstede
3866	Gerda Van Erkel	Gerda		Van Erkel	https://www.literatuurplein.nl/persdetail?persId=3866	http://web.archive.org/web/20191203212518/https://www.literatuurplein.nl/persdetail?persId=3866	200	Klik	13-04-1954			
3867	Kolet Janssen	Kolet		Janssen	https://www.literatuurplein.nl/persdetail?persId=3867	http://web.archive.org/web/20191203212534/https://www.literatuurplein.nl/persdetail?persId=3867	200	Klik	18-04-1955	Hasselt (B)		
3868	Patrick Bernauw	Patrick	 	Bernauw	https://www.literatuurplein.nl/detail/persoon/patrick-bernauw/3868	http://web.archive.org/web/20191129154200/https://www.literatuurplein.nl/detail/persoon/patrick-bernauw/3868	200	Klik				
3869	Ben Reynders	Ben		Reynders	https://www.literatuurplein.nl/persdetail?persId=3869	http://web.archive.org/web/20191203212551/https://www.literatuurplein.nl/persdetail?persId=3869	200	Klik	21-03-1945		25-02-2001	
3870	Karel Verleyen	Karel		Verleyen	https://www.literatuurplein.nl/persdetail?persId=3870	http://web.archive.org/web/20191203212607/https://www.literatuurplein.nl/persdetail?persId=3870	200	Klik	19-05-1938	Mechelen	18-11-2006	Leuven
3873	Carolijn Visser	Carolijn		Visser	https://www.literatuurplein.nl/persdetail?persId=3873	http://web.archive.org/web/20191203212629/https://www.literatuurplein.nl/persdetail?persId=3873	200	Klik	05-09-1956			
3889	Tonny Van Der Horst	Tonny	van der	Horst	https://www.literatuurplein.nl/persdetail?persId=3889	http://web.archive.org/web/20191203212645/https://www.literatuurplein.nl/persdetail?persId=3889	200	Klik	25-11-1915	Rotterdam	06-09-2005	Amsterdam
3908	Eric Hobsbawm	Eric		Hobsbawm	https://www.literatuurplein.nl/persdetail?persId=3908	http://web.archive.org/web/20191203212701/https://www.literatuurplein.nl/persdetail?persId=3908	200	Klik	09-07-1917	Alexandrië	01-10-2012	Londen
3921	M. Van Sleen	M.	van	Sleen	https://www.literatuurplein.nl/persdetail?persId=3921	http://web.archive.org/web/20191203212717/https://www.literatuurplein.nl/persdetail?persId=3921	200	Klik	30-12-1922	Gentbrugge		
3922	Miriam Guensberg	Miriam		Guensberg	https://www.literatuurplein.nl/persdetail?persId=3922	http://web.archive.org/web/20191203212734/https://www.literatuurplein.nl/persdetail?persId=3922	200	Klik	21-05-1950	Oldenzaal		
3924	Karel Biddeloo	Karel		Biddeloo	https://www.literatuurplein.nl/persdetail?persId=3924	http://web.archive.org/web/20191203212750/https://www.literatuurplein.nl/persdetail?persId=3924	200	Klik	17-08-1943	Wuustwezel	07-06-2004	Gooreind
3927	Marc Legendre	Marc		Legendre	https://www.literatuurplein.nl/persdetail?persId=3927	http://web.archive.org/web/20191203212807/https://www.literatuurplein.nl/persdetail?persId=3927	200	Klik	15-04-1956	Antwerpen		
3928	Jan Bosschaert	Jan		Bosschaert	https://www.literatuurplein.nl/persdetail?persId=3928	http://web.archive.org/web/20191203212824/https://www.literatuurplein.nl/persdetail?persId=3928	200	Klik	15-12-1957	Borgerhout		
3929	Hec Leemans	Hec		Leemans	https://www.literatuurplein.nl/persdetail?persId=3929	http://web.archive.org/web/20191203212841/https://www.literatuurplein.nl/persdetail?persId=3929	200	Klik	28-01-1950	Temse		
3948	Jos Liefrink	Jos		Liefrink	https://www.literatuurplein.nl/persdetail?persId=3948	http://web.archive.org/web/20191203212859/https://www.literatuurplein.nl/persdetail?persId=3948	200	Klik	03-04-1940	Nijmegen	20-05-1996	Antwerpen
3957	Herman Vos	Herman		Vos	https://www.literatuurplein.nl/persdetail?persId=3957	http://web.archive.org/web/20191203212915/https://www.literatuurplein.nl/persdetail?persId=3957	200	Klik	08-07-1928	Meise	19-12-2012	Edegem
3975	Hans Kaldenbach	Hans	 	Kaldenbach	https://www.literatuurplein.nl/detail/persoon/hans-kaldenbach/3975	http://web.archive.org/web/20191129133103/https://www.literatuurplein.nl/detail/persoon/hans-kaldenbach/3975	200	Klik				
3997	Jeff Broeckx	Jeff		Broeckx	https://www.literatuurplein.nl/persdetail?persId=3997	http://web.archive.org/web/20191203212931/https://www.literatuurplein.nl/persdetail?persId=3997	200	Klik	16-08-1943	Merksem		
4008	Jan Kuijper	Jan		Kuijper	https://www.literatuurplein.nl/persdetail?persId=4008	http://web.archive.org/web/20191203212948/https://www.literatuurplein.nl/persdetail?persId=4008	200	Klik	30-12-1947	Amsterdam		
4012	Ivo De Wijs	Ivo	de	Wijs	https://www.literatuurplein.nl/persdetail?persId=4012	http://web.archive.org/web/20191203213004/https://www.literatuurplein.nl/persdetail?persId=4012	200	Klik	13-07-1945	Tilburg		
4015	Elly Schippers	Elly	 	Schippers	https://www.literatuurplein.nl/detail/persoon/elly-schippers/4015	http://web.archive.org/web/20191129125759/https://www.literatuurplein.nl/detail/persoon/elly-schippers/4015	200	Klik				
4017	Kees Verheul	Kees		Verheul	https://www.literatuurplein.nl/persdetail?persId=4017	http://web.archive.org/web/20191203213020/https://www.literatuurplein.nl/persdetail?persId=4017	200	Klik	09-02-1940	Hengelo		
4036	Peter Karstkarel	Peter		Karstkarel	https://www.literatuurplein.nl/persdetail?persId=4036	http://web.archive.org/web/20191203213037/https://www.literatuurplein.nl/persdetail?persId=4036	200	Klik	1945	Sneek		
4066	Nop Maas	Nop		Maas	https://www.literatuurplein.nl/persdetail?persId=4066	http://web.archive.org/web/20191203213053/https://www.literatuurplein.nl/persdetail?persId=4066	200	Klik	01-12-1949	Hoensbroek		
4067	Gerard Reve	Gerard		Reve	https://www.literatuurplein.nl/persdetail?persId=4067	http://web.archive.org/web/20191203213109/https://www.literatuurplein.nl/persdetail?persId=4067	200	Klik	14-12-1923	Amsterdam	08-04-2006	Zulte
4070	Jan De Rooy	Jan	de	Rooy	https://www.literatuurplein.nl/persdetail?persId=4070	http://web.archive.org/web/20191203213126/https://www.literatuurplein.nl/persdetail?persId=4070	200	Klik	1949			
4074	João Ubaldo Ribeiro	João Ubaldo		Ribeiro	https://www.literatuurplein.nl/persdetail?persId=4074	http://web.archive.org/web/20191203213142/https://www.literatuurplein.nl/persdetail?persId=4074	200	Klik	23-01-1941	Ilha de Itaparica	18-07-2014	Rio de Janeiro
4075	Wim De Bie	Wim	de	Bie	https://www.literatuurplein.nl/persdetail?persId=4075	http://web.archive.org/web/20191203213158/https://www.literatuurplein.nl/persdetail?persId=4075	200	Klik	17-05-1939	Den Haag		
4087	Marijke Höweler	Marijke		Höweler	https://www.literatuurplein.nl/persdetail?persId=4087	http://web.archive.org/web/20191203213214/https://www.literatuurplein.nl/persdetail?persId=4087	200	Klik	27-07-1938	Koog aan de Zaan	05-05-2006	Amsterdam
4089	Jenny Diski	Jenny		Diski	https://www.literatuurplein.nl/persdetail?persId=4089	http://web.archive.org/web/20191203213231/https://www.literatuurplein.nl/persdetail?persId=4089	200	Klik	08-07-1947	Londen	28-04-2016	
4094	Jacques Neeven	Jacques	 	Neeven	https://www.literatuurplein.nl/detail/persoon/jacques-neeven/4094	http://web.archive.org/web/20191129135542/https://www.literatuurplein.nl/detail/persoon/jacques-neeven/4094	200	Klik				
4109	Daniël Robberechts	Daniël		Robberechts	https://www.literatuurplein.nl/persdetail?persId=4109	http://web.archive.org/web/20191203213249/https://www.literatuurplein.nl/persdetail?persId=4109	200	Klik	08-05-1937		27-05-1992	
4116	Isaac Asimov	Isaac		Asimov	https://www.literatuurplein.nl/persdetail?persId=4116	http://web.archive.org/web/20191203213305/https://www.literatuurplein.nl/persdetail?persId=4116	200	Klik	02-01-1920	Petrovichi	06-04-1992	
4119	Coen Hilbrink	Coen		Hilbrink	https://www.literatuurplein.nl/persdetail?persId=4119	http://web.archive.org/web/20191203213322/https://www.literatuurplein.nl/persdetail?persId=4119	200	Klik	1944			
4120	Paul Kustermans	Paul		Kustermans	https://www.literatuurplein.nl/persdetail?persId=4120	http://web.archive.org/web/20191203213338/https://www.literatuurplein.nl/persdetail?persId=4120	200	Klik	16-07-1936	Kumtich		
4127	Henri Van Daele	Henri		Van Daele	https://www.literatuurplein.nl/persdetail?persId=4127	http://web.archive.org/web/20191203213354/https://www.literatuurplein.nl/persdetail?persId=4127	200	Klik	15-11-1946	Zele	20-12-2010	Kalken
