PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
72	Dagmar Stam	Dagmar		Stam	https://www.literatuurplein.nl/persdetail?persId=72	http://web.archive.org/web/20191203185723/https://www.literatuurplein.nl/persdetail?persId=72	200	Klik	10-09-1945	Amsterdam		
73	Jacques Vriens	Jacques		Vriens	https://www.literatuurplein.nl/persdetail?persId=73	http://web.archive.org/web/20191203185742/https://www.literatuurplein.nl/persdetail?persId=73	200	Klik	26-03-1946	Den Bosch		
75	A.A. Milne	A.A.		Milne	https://www.literatuurplein.nl/persdetail?persId=75	http://web.archive.org/web/20191203185759/https://www.literatuurplein.nl/persdetail?persId=75	200	Klik	18-01-1882	Camden	31-01-1956	Hartfield
82	Gabrielle Vincent	Gabrielle		Vincent	https://www.literatuurplein.nl/persdetail?persId=82	http://web.archive.org/web/20191203185816/https://www.literatuurplein.nl/persdetail?persId=82	200	Klik	09-09-1928	Brussel	24-09-2000	Brussel
83	Aidan Chambers	Aidan		Chambers	https://www.literatuurplein.nl/persdetail?persId=83	http://web.archive.org/web/20191203185832/https://www.literatuurplein.nl/persdetail?persId=83	200	Klik	27-12-1934	Chester-le-Street		
84	Annie M.G. Schmidt	Annie M.G.		Schmidt	https://www.literatuurplein.nl/persdetail?persId=84	http://web.archive.org/web/20191203185849/https://www.literatuurplein.nl/persdetail?persId=84	200	Klik	20-05-1911	Kapelle	21-05-1995	Amsterdam
87	Ton Van Reen	Ton	van	Reen	https://www.literatuurplein.nl/persdetail?persId=87	http://web.archive.org/web/20191203185907/https://www.literatuurplein.nl/persdetail?persId=87	200	Klik	30-08-1941	Waalwijk		
89	Charlotte Dematons	Charlotte		Dematons	https://www.literatuurplein.nl/persdetail?persId=89	http://web.archive.org/web/20191203185925/https://www.literatuurplein.nl/persdetail?persId=89	200	Klik	21-09-1957	Evreux		
92	Stephen Cartwright	Stephen		Cartwright	https://www.literatuurplein.nl/persdetail?persId=92	http://web.archive.org/web/20191203185942/https://www.literatuurplein.nl/persdetail?persId=92	200	Klik	28-12-1947	Bolton	12-02-2004	Greater London
94	Els Pelgrom	Els		Pelgrom	https://www.literatuurplein.nl/persdetail?persId=94	http://web.archive.org/web/20191203185958/https://www.literatuurplein.nl/persdetail?persId=94	200	Klik	02-04-1934	Arnhem		
101	Willem Frederik Hermans	Willem Frederik		Hermans	https://www.literatuurplein.nl/persdetail?persId=101	http://web.archive.org/web/20191203190014/https://www.literatuurplein.nl/persdetail?persId=101	200	Klik	01-09-1921	Amsterdam	27-04-1995	Utrecht
103	K. Norel	K.		Norel	https://www.literatuurplein.nl/persdetail?persId=103	http://web.archive.org/web/20191203190032/https://www.literatuurplein.nl/persdetail?persId=103	200	Klik	09-11-1899		04-05-1971	
