"URL";"ArchiveURL"
"https://collecties.kb.nl/collectie-koopman/1926-1930/40-poesies-de-stanislas-boutemer";"https://web.archive.org/web/20220323212528/https://collecties.kb.nl/collectie-koopman/1926-1930/40-poesies-de-stanislas-boutemer"
"https://collecties.kb.nl/collectie-koopman/1926-1930/agenda-plm";"https://web.archive.org/web/20220323213006/https://collecties.kb.nl/collectie-koopman/1926-1930/agenda-plm"
"https://collecties.kb.nl/collectie-koopman/1926-1930/ces-messieurs-dames-ou-dignimont-commente";"https://web.archive.org/web/20220323211202/https://collecties.kb.nl/collectie-koopman/1926-1930/ces-messieurs-dames-ou-dignimont-commente"
"https://collecties.kb.nl/collectie-koopman/1926-1930/decouverte-de-longview";"https://web.archive.org/web/20220323212309/https://collecties.kb.nl/collectie-koopman/1926-1930/decouverte-de-longview"
"https://collecties.kb.nl/collectie-koopman/1926-1930/dormir-dormir-dans-les-pierres-poeme";"https://web.archive.org/web/20220323212223/https://collecties.kb.nl/collectie-koopman/1926-1930/dormir-dormir-dans-les-pierres-poeme"
"https://collecties.kb.nl/collectie-koopman/1926-1930/histoire-de-belisaire";"https://web.archive.org/web/20220323210919/https://collecties.kb.nl/collectie-koopman/1926-1930/histoire-de-belisaire"
"https://collecties.kb.nl/collectie-koopman/1926-1930/histoire-etonnante-morale-et-veridique-de-deux-freres-marchands-en-la";"https://web.archive.org/web/20220323212052/https://collecties.kb.nl/collectie-koopman/1926-1930/histoire-etonnante-morale-et-veridique-de-deux-freres-marchands-en-la"
"https://collecties.kb.nl/collectie-koopman/1926-1930/la-femme-100-tetes";"https://web.archive.org/web/20220323212741/https://collecties.kb.nl/collectie-koopman/1926-1930/la-femme-100-tetes"
"https://collecties.kb.nl/collectie-koopman/1926-1930/la-legende-et-la-vie-dutrillo";"https://web.archive.org/web/20220323211701/https://collecties.kb.nl/collectie-koopman/1926-1930/la-legende-et-la-vie-dutrillo"
"https://collecties.kb.nl/collectie-koopman/1926-1930/le-livre-blanc";"https://web.archive.org/web/20220323213052/https://collecties.kb.nl/collectie-koopman/1926-1930/le-livre-blanc"
"https://collecties.kb.nl/collectie-koopman/1926-1930/le-livre-de-la-verite-de-parole";"https://web.archive.org/web/20220323212827/https://collecties.kb.nl/collectie-koopman/1926-1930/le-livre-de-la-verite-de-parole"
"https://collecties.kb.nl/collectie-koopman/1926-1930/le-serpent";"https://web.archive.org/web/20220323211334/https://collecties.kb.nl/collectie-koopman/1926-1930/le-serpent"
"https://collecties.kb.nl/collectie-koopman/1926-1930/les-gaites-de-lescadron";"https://web.archive.org/web/20220323211553/https://collecties.kb.nl/collectie-koopman/1926-1930/les-gaites-de-lescadron"
"https://collecties.kb.nl/collectie-koopman/1926-1930/les-histoires-du-petit-renaud";"https://web.archive.org/web/20220323211506/https://collecties.kb.nl/collectie-koopman/1926-1930/les-histoires-du-petit-renaud"
"https://collecties.kb.nl/collectie-koopman/1926-1930/madame-chrysantheme";"https://web.archive.org/web/20220323211020/https://collecties.kb.nl/collectie-koopman/1926-1930/madame-chrysantheme"
"https://collecties.kb.nl/collectie-koopman/1926-1930/medard-de-paris";"https://web.archive.org/web/20220323212657/https://collecties.kb.nl/collectie-koopman/1926-1930/medard-de-paris"
"https://collecties.kb.nl/collectie-koopman/1926-1930/mes-amis";"https://web.archive.org/web/20220323212358/https://collecties.kb.nl/collectie-koopman/1926-1930/mes-amis"
"https://collecties.kb.nl/collectie-koopman/1926-1930/messieurs-les-ronds-de-cuir";"https://web.archive.org/web/20220323212139/https://collecties.kb.nl/collectie-koopman/1926-1930/messieurs-les-ronds-de-cuir"
"https://collecties.kb.nl/collectie-koopman/1926-1930/monsieur-de-bougrelon";"https://web.archive.org/web/20220323212006/https://collecties.kb.nl/collectie-koopman/1926-1930/monsieur-de-bougrelon"
"https://collecties.kb.nl/collectie-koopman/1926-1930/rues-visages-de-berlin";"https://web.archive.org/web/20220323212918/https://collecties.kb.nl/collectie-koopman/1926-1930/rues-visages-de-berlin"
"https://collecties.kb.nl/collectie-koopman/1926-1930/suite-provinciale";"https://web.archive.org/web/20220323211901/https://collecties.kb.nl/collectie-koopman/1926-1930/suite-provinciale"
"https://collecties.kb.nl/collectie-koopman/1926-1930/theatre-pigalle";"https://web.archive.org/web/20220323212612/https://collecties.kb.nl/collectie-koopman/1926-1930/theatre-pigalle"
"https://collecties.kb.nl/collectie-koopman/1931-1939";"https://web.archive.org/web/20220323213205/https://collecties.kb.nl/collectie-koopman/1931-1939"
"https://collecties.kb.nl/collectie-koopman/1931-1939/clouk-et-cherie";"https://web.archive.org/web/20220323213751/https://collecties.kb.nl/collectie-koopman/1931-1939/clouk-et-cherie"
"https://collecties.kb.nl/collectie-koopman/1931-1939/colombe";"https://web.archive.org/web/20220323213537/https://collecties.kb.nl/collectie-koopman/1931-1939/colombe"
"https://collecties.kb.nl/collectie-koopman/1931-1939/geographie-cordiale-de-leurope";"https://web.archive.org/web/20220323213447/https://collecties.kb.nl/collectie-koopman/1931-1939/geographie-cordiale-de-leurope"
"https://collecties.kb.nl/collectie-koopman/1931-1939/la-bonne-chanson";"https://web.archive.org/web/20220323214217/https://collecties.kb.nl/collectie-koopman/1931-1939/la-bonne-chanson"
"https://collecties.kb.nl/collectie-koopman/1931-1939/la-jeune-parque";"https://web.archive.org/web/20220323213921/https://collecties.kb.nl/collectie-koopman/1931-1939/la-jeune-parque"
"https://collecties.kb.nl/collectie-koopman/1931-1939/la-mort-de-venise";"https://web.archive.org/web/20220323214006/https://collecties.kb.nl/collectie-koopman/1931-1939/la-mort-de-venise"
"https://collecties.kb.nl/collectie-koopman/1931-1939/la-photographie-nest-pas-lart";"https://web.archive.org/web/20220323214726/https://collecties.kb.nl/collectie-koopman/1931-1939/la-photographie-nest-pas-lart"
"https://collecties.kb.nl/collectie-koopman/1931-1939/le-livre-de-christophe-colomb";"https://web.archive.org/web/20220324035153/https://collecties.kb.nl/collectie-koopman/1931-1939/le-livre-de-christophe-colomb"
"https://collecties.kb.nl/collectie-koopman/1931-1939/le-peseur-dames";"https://web.archive.org/web/20220323213255/https://collecties.kb.nl/collectie-koopman/1931-1939/le-peseur-dames"
