BoekID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
2482	http://www.literatuurplein.nl/boekdetail.jsp?boekId=2482	http://web.archive.org/web/20191127131645/https://literatuurplein.nl/boekdetail?boekId=2482	200	Klik
2482	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2482	http://web.archive.org/web/20191127024247/https://www.literatuurplein.nl/boekdetail?boekId=2482	200	Klik
2616	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2616	http://web.archive.org/web/20191127024430/https://www.literatuurplein.nl/boekdetail?boekId=2616	200	Klik
2885	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2885	http://web.archive.org/web/20191127024926/https://www.literatuurplein.nl/boekdetail?boekId=2885	200	Klik
2908	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2908	http://web.archive.org/web/20191127025008/https://www.literatuurplein.nl/boekdetail?boekId=2908	200	Klik
2981	http://www.literatuurplein.nl/boekdetail.jsp?boekId=2981	http://web.archive.org/web/20191127131847/https://literatuurplein.nl/boekdetail?boekId=2981	200	Klik
2981	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2981	http://web.archive.org/web/20191127025136/https://www.literatuurplein.nl/boekdetail?boekId=2981	200	Klik
3014	https://www.literatuurplein.nl/detail/boek/een-rode-ster-aan-de-hemel/3014	http://web.archive.org/web/20191128130904/https://www.literatuurplein.nl/detail/boek/een-rode-ster-aan-de-hemel/3014	200	Klik
3058	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3058	http://web.archive.org/web/20191127025218/https://www.literatuurplein.nl/boekdetail?boekId=3058	200	Klik
3213	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3213	http://web.archive.org/web/20191127025414/https://www.literatuurplein.nl/boekdetail?boekId=3213	200	Klik
3225	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3225	http://web.archive.org/web/20191127025422/https://www.literatuurplein.nl/boekdetail?boekId=3225	200	Klik
3253	http://www.literatuurplein.nl/boekdetail.jsp?boekId=3253	http://web.archive.org/web/20191127131933/https://literatuurplein.nl/boekdetail?boekId=3253	200	Klik
3363	http://www.literatuurplein.nl/boekdetail.jsp?boekId=3363	http://web.archive.org/web/20191127131942/https://literatuurplein.nl/boekdetail?boekId=3363	200	Klik
3395	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3395	http://web.archive.org/web/20191127025700/https://www.literatuurplein.nl/boekdetail?boekId=3395	200	Klik
3416	https://www.literatuurplein.nl/detail/boek/alistair-maclean-s-vuurproef/3416	http://web.archive.org/web/20191128081130/https://www.literatuurplein.nl/detail/boek/alistair-maclean-s-vuurproef/3416	200	Klik
3462	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3462	http://web.archive.org/web/20191127030904/https://www.literatuurplein.nl/boekdetail?boekId=3462	200	Klik
3482	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3482	http://web.archive.org/web/20191127031325/https://www.literatuurplein.nl/boekdetail?boekId=3482	200	Klik
3482	https://www.literatuurplein.nl/detail/boek/vlucht-naar-niemandsland/3482	http://web.archive.org/web/20191129100107/https://www.literatuurplein.nl/detail/boek/vlucht-naar-niemandsland/3482	200	Klik
3510	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3510	http://web.archive.org/web/20191127031439/https://www.literatuurplein.nl/boekdetail?boekId=3510	200	Klik
3515	http://www.literatuurplein.nl/boekdetail.jsp?boekId=3515	http://web.archive.org/web/20191127132523/https://literatuurplein.nl/boekdetail?boekId=3515	200	Klik
3521	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3521	http://web.archive.org/web/20191127031528/https://www.literatuurplein.nl/boekdetail?boekId=3521	200	Klik
3569	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3569	http://web.archive.org/web/20191127031908/https://www.literatuurplein.nl/boekdetail?boekId=3569	200	Klik
3582	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3582	http://web.archive.org/web/20191127032023/https://www.literatuurplein.nl/boekdetail?boekId=3582	200	Klik
