ThemaID	Thema	ThemaURL	ThemaArchiefURL	ThemaArchiefURLStatusCheck-05122019		Titel	TitelURL	TitelID	TitelArchiefURL	TitelArchiefURLStatusCheck-05122019	
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Fietsen langs Hunebedden : een cultuurhistorische fietsroute langs alle hunebedden in Drenthe	http://www.literatuurplein.nl/boekdetail.jsp?boekId=763555	763555	http://web.archive.org/web/20191127160230/https://literatuurplein.nl/boekdetail?boekId=763555	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Hunebedden	http://www.literatuurplein.nl/boekdetail.jsp?boekId=763556	763556	http://web.archive.org/web/20191127160237/https://literatuurplein.nl/boekdetail?boekId=763556	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	De Bosatlas van de geschiedenis van Nederland	http://www.literatuurplein.nl/boekdetail.jsp?boekId=776405	776405	http://web.archive.org/web/20191127161407/https://literatuurplein.nl/boekdetail?boekId=776405	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Het land van Hilde : archeologie in het Noord-Hollandse kustgebied	http://www.literatuurplein.nl/boekdetail.jsp?boekId=794895	794895	http://web.archive.org/web/20191127162024/https://literatuurplein.nl/boekdetail?boekId=794895	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Hunebedden in Nederland : zorgen voor morgen	http://www.literatuurplein.nl/boekdetail.jsp?boekId=796595	796595	http://web.archive.org/web/20191127162206/https://literatuurplein.nl/boekdetail?boekId=796595	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	W.J. de Wilde (1860-1936) : een vergeten onderzoeker van de Nederlandse hunebedden	http://www.literatuurplein.nl/boekdetail.jsp?boekId=804355	804355	http://web.archive.org/web/20191127162749/https://literatuurplein.nl/boekdetail?boekId=804355	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Kathedralen uit de steentijd : hunebedden, dolmens en menhirs in de Lage Landen	http://www.literatuurplein.nl/boekdetail.jsp?boekId=84272	84272	http://web.archive.org/web/20191127164416/https://literatuurplein.nl/boekdetail?boekId=84272	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Een paleis voor de doden : over hunebedden, dolmens en menhirs	https://literatuurplein.nl/detail/boek/een-paleis-voor-de-doden/1372488	1372488	http://web.archive.org/web/20191127173013/https://literatuurplein.nl/detail/boek/een-paleis-voor-de-doden/1372488	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Gids voor de hunebedden in Drenthe en Groningen.	https://literatuurplein.nl/detail/boek/gids-voor-de-hunebedden-in-drenthe-en-groningen/803250	803250	http://web.archive.org/web/20191127173306/https://literatuurplein.nl/detail/boek/gids-voor-de-hunebedden-in-drenthe-en-groningen/803250	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik	Mythische stenen : deel 1 : Nederland	https://literatuurplein.nl/detail/boek/mythische-stenen/1374004	1374004	http://web.archive.org/web/20191127174613/https://literatuurplein.nl/detail/boek/mythische-stenen/1374004	200	Klik
1	1. Hunebedden	https://literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191127181535/https://literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik						
1	1. Hunebedden	https://www.literatuurplein.nl/canon_detail.jsp?canonId=1	http://web.archive.org/web/20191128075700/https://www.literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik						
1	1. Hunebedden	https://www.literatuurplein.nl/detail/canon/1-hunebedden/1	http://web.archive.org/web/20191129102105/https://www.literatuurplein.nl/detail/canon/1-hunebedden/1	200	Klik						
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Sapor Limitis, de smaak van de Limes : Romeinse recepten uit het gebied van Albaniana (Alphen aan den Rijn), Matilo (Leiden Roomburg) en Lugdunum (Katwijk)	http://www.literatuurplein.nl/boekdetail.jsp?boekId=1048975	1048975	http://web.archive.org/web/20191127124838/https://literatuurplein.nl/boekdetail?boekId=1048975	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Grens van het Romeinse Rijk : de Limes in Gelderland.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=1086545	1086545	http://web.archive.org/web/20191127125109/https://literatuurplein.nl/boekdetail?boekId=1086545	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeinse wegen in Nederland.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=1088305	1088305	http://web.archive.org/web/20191127125118/https://literatuurplein.nl/boekdetail?boekId=1088305	200	Klik
