LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Bloemmotieven	http://web.archive.org/web/20191130194006/https://www.literatuurplein.nl/trefwoord?trefwoord=Bloemmotieven	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Blokker (grootwinkelbedrijf)	http://web.archive.org/web/20191130194013/https://www.literatuurplein.nl/trefwoord?trefwoord=Blokker%20(grootwinkelbedrijf)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Bodybuilding	http://web.archive.org/web/20191130194020/https://www.literatuurplein.nl/trefwoord?trefwoord=Bodybuilding	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Boekbinden	http://web.archive.org/web/20191130194027/https://www.literatuurplein.nl/trefwoord?trefwoord=Boekbinden	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Boetseren	http://web.archive.org/web/20191130194036/https://www.literatuurplein.nl/trefwoord?trefwoord=Boetseren	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Borduren	http://web.archive.org/web/20191130194043/https://www.literatuurplein.nl/trefwoord?trefwoord=Borduren	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Brandweer	http://web.archive.org/web/20191130194050/https://www.literatuurplein.nl/trefwoord?trefwoord=Brandweer	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Breipatronen	http://web.archive.org/web/20191130194057/https://www.literatuurplein.nl/trefwoord?trefwoord=Breipatronen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Bromfietstechniek	http://web.archive.org/web/20191130194105/https://www.literatuurplein.nl/trefwoord?trefwoord=Bromfietstechniek	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Bruegel, Pieter (de Oude)	http://web.archive.org/web/20191130194112/https://www.literatuurplein.nl/trefwoord?trefwoord=Bruegel,%20Pieter%20(de%20Oude)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cabaretteksten	http://web.archive.org/web/20191130194119/https://www.literatuurplein.nl/trefwoord?trefwoord=Cabaretteksten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cartoontekenen	http://web.archive.org/web/20191130194126/https://www.literatuurplein.nl/trefwoord?trefwoord=Cartoontekenen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Combinatieklassen	http://web.archive.org/web/20191130194133/https://www.literatuurplein.nl/trefwoord?trefwoord=Combinatieklassen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Concentratiekampen	http://web.archive.org/web/20191130194140/https://www.literatuurplein.nl/trefwoord?trefwoord=Concentratiekampen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cottage-tuinen	http://web.archive.org/web/20191130194158/https://www.literatuurplein.nl/trefwoord?trefwoord=Cottage-tuinen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cuba	http://web.archive.org/web/20191130194206/https://www.literatuurplein.nl/trefwoord?trefwoord=Cuba	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cuba-crisis (1962)	http://web.archive.org/web/20191130194213/https://www.literatuurplein.nl/trefwoord?trefwoord=Cuba-crisis%20(1962)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cultuurgeschiedenis	http://web.archive.org/web/20191130194220/https://www.literatuurplein.nl/trefwoord?trefwoord=Cultuurgeschiedenis	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Cultuurverschillen	http://web.archive.org/web/20191130194228/https://www.literatuurplein.nl/trefwoord?trefwoord=Cultuurverschillen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Dak- en thuislozen	http://web.archive.org/web/20191130194235/https://www.literatuurplein.nl/trefwoord?trefwoord=Dak-%20en%20thuislozen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Daltononderwijs	http://web.archive.org/web/20191130194242/https://www.literatuurplein.nl/trefwoord?trefwoord=Daltononderwijs	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=DDR	http://web.archive.org/web/20191130194249/https://www.literatuurplein.nl/trefwoord?trefwoord=DDR	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Dierenmishandeling	http://web.archive.org/web/20191130194256/https://www.literatuurplein.nl/trefwoord?trefwoord=Dierenmishandeling	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Dierentekenen	http://web.archive.org/web/20191130194303/https://www.literatuurplein.nl/trefwoord?trefwoord=Dierentekenen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Dinosaurussen	http://web.archive.org/web/20191130194311/https://www.literatuurplein.nl/trefwoord?trefwoord=Dinosaurussen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Discriminatie	http://web.archive.org/web/20191130194318/https://www.literatuurplein.nl/trefwoord?trefwoord=Discriminatie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Draadfiguren	http://web.archive.org/web/20191130194325/https://www.literatuurplein.nl/trefwoord?trefwoord=Draadfiguren	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Dramatische expressie	http://web.archive.org/web/20191130194332/https://www.literatuurplein.nl/trefwoord?trefwoord=Dramatische%20expressie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Dressuurrijden	http://web.archive.org/web/20191130194340/https://www.literatuurplein.nl/trefwoord?trefwoord=Dressuurrijden	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Drugshandel	http://web.archive.org/web/20191130194347/https://www.literatuurplein.nl/trefwoord?trefwoord=Drugshandel	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Druktechnieken	http://web.archive.org/web/20191130194354/https://www.literatuurplein.nl/trefwoord?trefwoord=Druktechnieken	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Duikboten	http://web.archive.org/web/20191130194402/https://www.literatuurplein.nl/trefwoord?trefwoord=Duikboten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Duitsland	http://web.archive.org/web/20191130194418/https://www.literatuurplein.nl/trefwoord?trefwoord=Duitsland	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Duivensport	http://web.archive.org/web/20191130194425/https://www.literatuurplein.nl/trefwoord?trefwoord=Duivensport	200	Klik
