LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=50&startjaar=&eindjaar=	http://web.archive.org/web/20191130213610/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=50&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=75&startjaar=&eindjaar=	http://web.archive.org/web/20191130213616/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=75&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=&pMode=boek	http://web.archive.org/web/20191130213622/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=&pMode=boek	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=Aangelijnd&pMode=boek&submit=	http://web.archive.org/web/20191130213628/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=Aangelijnd&pMode=boek&submit=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?sort=AUT	http://web.archive.org/web/20191130213650/https://www.literatuurplein.nl/zoeken-eenvoudig?sort=AUT	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?sort=JAAR	http://web.archive.org/web/20191130213714/https://www.literatuurplein.nl/zoeken-eenvoudig?sort=JAAR	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?sort=UITG	http://web.archive.org/web/20191130213720/https://www.literatuurplein.nl/zoeken-eenvoudig?sort=UITG	200	Klik
https://www.literatuurplein.nl/zoeken-resultaat	http://web.archive.org/web/20191130213726/https://www.literatuurplein.nl/zoeken-resultaat	200	Klik
https://www.literatuurplein.nl/zoeken-resultaat.jsp	http://web.archive.org/web/20191130213734/https://www.literatuurplein.nl/zoeken-resultaat	200	Klik
https://www.literatuurplein.nl/zoeken-resultaat.jsp?pFrom=zoeken-eenvoudig	http://web.archive.org/web/20191130213741/https://www.literatuurplein.nl/zoeken-resultaat?pFrom=zoeken-eenvoudig	200	Klik
https://www.literatuurplein.nl/zoeken-resultaat?sort=JAAR	http://web.archive.org/web/20191130213747/https://www.literatuurplein.nl/zoeken-resultaat?sort=JAAR	200	Klik
https://www.literatuurplein.nl/zoeken-uitgebreid	http://web.archive.org/web/20191130213753/https://www.literatuurplein.nl/zoeken-uitgebreid	200	Klik
https://www.literatuurplein.nl/zoeken-uitgebreid.jsp	http://web.archive.org/web/20191130213800/https://www.literatuurplein.nl/zoeken-uitgebreid	200	Klik
https://www.literatuurplein.nl/zoeken-website.jsp	http://web.archive.org/web/20191130213808/https://www.literatuurplein.nl/zoeken-website	200	Klik
https://www.literatuurplein.nl/zoeken-website.jsp?pFrom=zoeken-eenvoudig	http://web.archive.org/web/20191130213814/https://www.literatuurplein.nl/zoeken-website?pFrom=zoeken-eenvoudig	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp	http://web.archive.org/web/20191130213821/https://www.literatuurplein.nl/zoeken-website-resultaat	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?paginaStart=25&pWebTekst=Londen&pType=B&sort=JAAR&startjaar=&eindjaar=	http://web.archive.org/web/20191130213840/https://www.literatuurplein.nl/zoeken-website-resultaat?paginaStart=25&pWebTekst=Londen&pType=B&sort=JAAR&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?paginaStart=325&pWebTekst=Berlijn&pType=B&sort=JAAR&startjaar=&eindjaar=	http://web.archive.org/web/20191130213849/https://www.literatuurplein.nl/zoeken-website-resultaat?paginaStart=325&pWebTekst=Berlijn&pType=B&sort=JAAR&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?paginaStart=350&pWebTekst=Berlijn&pType=B&sort=JAAR&startjaar=&eindjaar=	http://web.archive.org/web/20191130213858/https://www.literatuurplein.nl/zoeken-website-resultaat?paginaStart=350&pWebTekst=Berlijn&pType=B&sort=JAAR&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?paginaStart=50&pWebTekst=Londen&pType=B&sort=JAAR&startjaar=&eindjaar=	http://web.archive.org/web/20191130213913/https://www.literatuurplein.nl/zoeken-website-resultaat?paginaStart=50&pWebTekst=Londen&pType=B&sort=JAAR&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?paginaStart=75&pWebTekst=Parijs&pType=B&sort=JAAR&startjaar=&eindjaar=	http://web.archive.org/web/20191130213921/https://www.literatuurplein.nl/zoeken-website-resultaat?paginaStart=75&pWebTekst=Parijs&pType=B&sort=JAAR&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?pType=B&pWebTekst=Kopenhagen&sort=JAAR	http://web.archive.org/web/20191130213928/https://www.literatuurplein.nl/zoeken-website-resultaat?pType=B&pWebTekst=Kopenhagen&sort=JAAR	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?pType=B&pWebTekst=Milaan&sort=JAAR	http://web.archive.org/web/20191130213935/https://www.literatuurplein.nl/zoeken-website-resultaat?pType=B&pWebTekst=Milaan&sort=JAAR	200	Klik
https://www.literatuurplein.nl/zoeken-website-resultaat.jsp?pType=N&pWebTekst=ANP	http://web.archive.org/web/20191130213943/https://www.literatuurplein.nl/zoeken-website-resultaat?pType=N&pWebTekst=ANP	200	Klik
